#,dsp.reduced_histogram[10]
0,92
1,89
2,61
3,48
4,48
5,34
6,27
7,24
8,13
9,15
10,18
11,15
12,18
13,13
14,11
15,12
16,5
17,13
18,7
19,3
20,10
21,11
22,6
23,12
24,15
25,22
26,30
27,47
28,57
29,47
30,60
31,63
32,60
33,41
34,55
35,48
36,42
37,40
38,45
39,31
40,25
41,30
42,29
43,15
44,29
45,23
46,17
47,23
48,19
49,15
50,17
51,13
52,14
53,8
54,8
55,9
56,5
57,9
58,6
59,7
60,4
61,1
62,5
63,3
64,5
65,1
66,0
67,2
68,2
69,0
70,1
71,2
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,1
87,0
88,0
89,1
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
